RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-04-30,2022-06-30,2023-03-31
102001,0,United States,Country,,2022-03-31,1.7,5.5,14.9
394913,1,"New York, NY",Msa,NY,2022-03-31,1.2,4.2,10.7
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,2022-03-31,2.0,6.2,16.1
394463,3,"Chicago, IL",Msa,IL,2022-03-31,1.2,4.1,10.7
394514,4,"Dallas-Fort Worth, TX",Msa,TX,2022-03-31,2.6,10.2,26.6
394974,5,"Philadelphia, PA",Msa,PA,2022-03-31,1.2,4.4,12.0
394692,6,"Houston, TX",Msa,TX,2022-03-31,2.1,6.3,14.9
395209,7,"Washington, DC",Msa,DC,2022-03-31,1.3,4.2,10.8
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,2022-03-31,2.6,8.5,20.3
394347,9,"Atlanta, GA",Msa,GA,2022-03-31,2.1,7.2,20.5
394404,10,"Boston, MA",Msa,MA,2022-03-31,1.4,4.4,12.3
395057,11,"San Francisco, CA",Msa,CA,2022-03-31,1.9,5.0,13.8
394532,12,"Detroit, MI",Msa,MI,2022-03-31,1.1,4.2,12.8
395025,13,"Riverside, CA",Msa,CA,2022-03-31,1.8,6.1,17.7
394976,14,"Phoenix, AZ",Msa,AZ,2022-03-31,2.2,6.2,18.3
395078,15,"Seattle, WA",Msa,WA,2022-03-31,2.3,6.7,17.8
394865,16,"Minneapolis-St Paul, MN",Msa,MN,2022-03-31,1.3,4.2,11.9
395056,17,"San Diego, CA",Msa,CA,2022-03-31,2.1,7.5,21.0
395121,18,"St. Louis, MO",Msa,MO,2022-03-31,1.6,4.6,11.9
395148,19,"Tampa, FL",Msa,FL,2022-03-31,2.8,9.1,23.8
394358,20,"Baltimore, MD",Msa,MD,2022-03-31,1.1,3.8,9.9
394530,21,"Denver, CO",Msa,CO,2022-03-31,2.3,6.8,17.3
394982,22,"Pittsburgh, PA",Msa,PA,2022-03-31,1.2,4.1,11.6
394998,23,"Portland, OR",Msa,OR,2022-03-31,1.8,5.7,14.2
394458,24,"Charlotte, NC",Msa,NC,2022-03-31,2.5,7.9,20.8
395045,25,"Sacramento, CA",Msa,CA,2022-03-31,1.6,5.5,16.5
395055,26,"San Antonio, TX",Msa,TX,2022-03-31,2.2,6.8,16.8
394943,27,"Orlando, FL",Msa,FL,2022-03-31,2.8,8.7,21.0
394466,28,"Cincinnati, OH",Msa,OH,2022-03-31,1.5,4.9,13.8
394475,29,"Cleveland, OH",Msa,OH,2022-03-31,1.5,4.8,13.3
394735,30,"Kansas City, MO",Msa,MO,2022-03-31,1.4,4.5,13.2
394775,31,"Las Vegas, NV",Msa,NV,2022-03-31,2.4,7.5,20.6
394492,32,"Columbus, OH",Msa,OH,2022-03-31,1.5,4.9,14.4
394705,33,"Indianapolis, IN",Msa,IN,2022-03-31,1.3,4.4,14.2
395059,34,"San Jose, CA",Msa,CA,2022-03-31,1.9,5.0,14.4
394355,35,"Austin, TX",Msa,TX,2022-03-31,1.9,5.7,17.5
395194,36,"Virginia Beach, VA",Msa,VA,2022-03-31,1.1,4.2,11.0
394902,37,"Nashville, TN",Msa,TN,2022-03-31,2.4,7.9,22.2
395005,38,"Providence, RI",Msa,RI,2022-03-31,1.2,4.7,14.1
394862,39,"Milwaukee, WI",Msa,WI,2022-03-31,1.6,4.8,12.9
394714,40,"Jacksonville, FL",Msa,FL,2022-03-31,2.5,7.8,20.2
394849,41,"Memphis, TN",Msa,TN,2022-03-31,1.8,5.4,15.8
394935,42,"Oklahoma City, OK",Msa,OK,2022-03-31,1.5,4.8,12.3
394807,43,"Louisville-Jefferson County, KY",Msa,KY,2022-03-31,1.2,4.2,12.2
394669,44,"Hartford, CT",Msa,CT,2022-03-31,1.2,4.6,11.6
395022,45,"Richmond, VA",Msa,VA,2022-03-31,0.9,3.6,11.2
394910,46,"New Orleans, LA",Msa,LA,2022-03-31,1.1,4.0,10.3
394425,47,"Buffalo, NY",Msa,NY,2022-03-31,1.9,6.0,15.3
395012,48,"Raleigh, NC",Msa,NC,2022-03-31,2.9,9.3,23.0
394388,49,"Birmingham, AL",Msa,AL,2022-03-31,1.5,4.8,13.5
395053,50,"Salt Lake City, UT",Msa,UT,2022-03-31,2.2,6.7,19.6
395031,51,"Rochester, NY",Msa,NY,2022-03-31,1.7,5.1,13.3
394640,52,"Grand Rapids, MI",Msa,MI,2022-03-31,1.7,5.2,15.0
395167,53,"Tucson, AZ",Msa,AZ,2022-03-31,1.9,6.4,18.5
753924,54,"Urban Honolulu, HI",Msa,HI,2022-03-31,1.4,4.6,11.7
395169,55,"Tulsa, OK",Msa,OK,2022-03-31,1.5,4.8,12.6
394619,56,"Fresno, CA",Msa,CA,2022-03-31,1.3,5.3,16.5
395238,57,"Worcester, MA",Msa,MA,2022-03-31,1.6,4.9,14.2
394415,58,"Stamford, CT",Msa,CT,2022-03-31,1.4,4.9,13.0
394312,59,"Albuquerque, NM",Msa,NM,2022-03-31,1.7,5.5,15.6
394308,60,"Albany, NY",Msa,NY,2022-03-31,1.3,4.3,11.4
394938,61,"Omaha, NE",Msa,NE,2022-03-31,1.2,4.3,12.6
394908,62,"New Haven, CT",Msa,CT,2022-03-31,1.6,5.2,14.0
394357,63,"Bakersfield, CA",Msa,CA,2022-03-31,2.0,6.1,17.2
394753,64,"Knoxville, TN",Msa,TN,2022-03-31,2.1,6.7,19.6
394653,65,"Greenville, SC",Msa,SC,2022-03-31,1.9,5.9,15.7
394952,66,"Ventura, CA",Msa,CA,2022-03-31,2.3,5.7,14.7
394318,67,"Allentown, PA",Msa,PA,2022-03-31,1.6,5.3,14.3
394561,68,"El Paso, TX",Msa,TX,2022-03-31,1.5,5.0,13.2
394367,69,"Baton Rouge, LA",Msa,LA,2022-03-31,1.6,4.5,9.4
394521,70,"Dayton, OH",Msa,OH,2022-03-31,1.6,5.0,14.7
394843,71,"McAllen, TX",Msa,TX,2022-03-31,1.6,5.0,13.4
394486,72,"Columbia, SC",Msa,SC,2022-03-31,2.2,6.7,15.7
394648,73,"Greensboro, NC",Msa,NC,2022-03-31,1.6,5.5,15.5
394304,74,"Akron, OH",Msa,OH,2022-03-31,1.3,4.1,12.0
753906,75,"North Port-Sarasota-Bradenton, FL",Msa,FL,2022-03-31,4.1,11.7,27.2
394798,76,"Little Rock, AR",Msa,AR,2022-03-31,0.9,3.8,10.2
395134,77,"Stockton, CA",Msa,CA,2022-03-31,2.5,7.7,19.4
394457,78,"Charleston, SC",Msa,SC,2022-03-31,2.1,5.5,14.3
395143,79,"Syracuse, NY",Msa,NY,2022-03-31,2.1,6.4,14.7
394484,80,"Colorado Springs, CO",Msa,CO,2022-03-31,1.5,5.1,17.3
395235,81,"Winston-Salem, NC",Msa,NC,2022-03-31,1.9,6.0,16.2
395224,82,"Wichita, KS",Msa,KS,2022-03-31,1.2,4.5,12.0
395115,83,"Springfield, MA",Msa,MA,2022-03-31,1.3,4.7,12.7
394440,84,"Fort Myers, FL",Msa,FL,2022-03-31,4.0,11.4,25.7
394399,85,"Boise City, ID",Msa,ID,2022-03-31,0.4,4.5,20.3
395160,86,"Toledo, OH",Msa,OH,2022-03-31,1.0,4.1,12.3
394816,87,"Madison, WI",Msa,WI,2022-03-31,1.6,4.8,12.5
394766,88,"Lakeland, FL",Msa,FL,2022-03-31,2.5,8.2,21.8
394931,89,"Ogden, UT",Msa,UT,2022-03-31,2.3,7.2,20.6
394528,90,"Daytona Beach, FL",Msa,FL,2022-03-31,2.2,7.7,21.5
394531,91,"Des Moines, IA",Msa,IA,2022-03-31,1.0,3.5,9.9
394711,92,"Jackson, MS",Msa,MS,2022-03-31,1.5,5.0,12.1
395245,93,"Youngstown, OH",Msa,OH,2022-03-31,1.5,5.4,14.9
394352,94,"Augusta, GA",Msa,GA,2022-03-31,1.4,4.7,13.4
395075,95,"Scranton, PA",Msa,PA,2022-03-31,1.7,6.0,17.3
394666,96,"Harrisburg, PA",Msa,PA,2022-03-31,1.2,4.1,11.3
394957,97,"Melbourne, FL",Msa,FL,2022-03-31,2.8,8.4,21.5
394460,98,"Chattanooga, TN",Msa,TN,2022-03-31,2.0,5.9,16.0
395113,99,"Spokane, WA",Msa,WA,2022-03-31,2.3,6.5,20.6
395006,100,"Provo, UT",Msa,UT,2022-03-31,2.2,6.7,19.6
394768,101,"Lancaster, PA",Msa,PA,2022-03-31,1.2,4.4,12.8
394871,102,"Modesto, CA",Msa,CA,2022-03-31,1.9,5.3,16.0
394997,103,"Portland, ME",Msa,ME,2022-03-31,1.4,5.7,17.1
394549,104,"Durham, NC",Msa,NC,2022-03-31,2.3,8.0,21.5
395068,105,"Santa Rosa, CA",Msa,CA,2022-03-31,2.1,6.0,13.0
394792,106,"Lexington, KY",Msa,KY,2022-03-31,1.7,5.1,13.0
394761,107,"Lafayette, LA",Msa,LA,2022-03-31,1.2,3.7,8.7
394770,108,"Lansing, MI",Msa,MI,2022-03-31,1.1,3.9,11.7
394590,109,"Fayetteville, AR",Msa,AR,2022-03-31,1.9,6.7,18.9
394971,110,"Pensacola, FL",Msa,FL,2022-03-31,2.0,6.5,18.8
395195,111,"Visalia, CA",Msa,CA,2022-03-31,1.4,5.3,15.5
395096,112,"Shreveport, LA",Msa,LA,2022-03-31,0.8,3.1,7.0
395116,113,"Springfield, MO",Msa,MO,2022-03-31,1.7,5.4,15.6
395244,114,"York, PA",Msa,PA,2022-03-31,1.6,5.4,13.4
394502,115,"Corpus Christi, TX",Msa,TX,2022-03-31,1.4,4.5,11.0
394596,116,"Flint, MI",Msa,MI,2022-03-31,1.7,5.5,15.7
395019,117,"Reno, NV",Msa,NV,2022-03-31,1.6,5.4,15.8
394338,118,"Asheville, NC",Msa,NC,2022-03-31,1.8,5.9,17.0
394995,119,"Port St. Lucie, FL",Msa,FL,2022-03-31,2.6,8.6,23.0
753917,120,"Santa Maria-Santa Barbara, CA",Msa,CA,2022-03-31,1.8,5.8,16.7
394698,121,"Huntsville, AL",Msa,AL,2022-03-31,1.9,6.4,18.2
394612,122,"Fort Wayne, IN",Msa,IN,2022-03-31,1.1,4.5,14.0
395050,123,"Salinas, CA",Msa,CA,2022-03-31,1.5,5.1,15.0
395183,124,"Vallejo, CA",Msa,CA,2022-03-31,1.2,4.9,13.6
394870,125,"Mobile, AL",Msa,AL,2022-03-31,1.6,5.2,14.2
395015,126,"Reading, PA",Msa,PA,2022-03-31,1.6,4.8,13.8
394421,127,"Brownsville, TX",Msa,TX,2022-03-31,2.2,6.5,16.4
394746,128,"Killeen, TX",Msa,TX,2022-03-31,2.5,7.7,19.8
394439,129,"Canton, OH",Msa,OH,2022-03-31,1.3,4.4,12.8
394372,130,"Beaumont, TX",Msa,TX,2022-03-31,1.2,3.9,9.6
394820,131,"Manchester, NH",Msa,NH,2022-03-31,1.6,5.2,15.0
395048,132,"Salem, OR",Msa,OR,2022-03-31,1.4,5.5,16.8
394327,133,"Anchorage, AK",Msa,AK,2022-03-31,1.3,3.4,6.5
394520,134,"Davenport, IL",Msa,IL,2022-03-31,0.9,3.6,9.0
394972,135,"Peoria, IL",Msa,IL,2022-03-31,0.9,3.2,7.5
394898,136,"Myrtle Beach, SC",Msa,SC,2022-03-31,1.6,5.2,15.3
394875,137,"Montgomery, AL",Msa,AL,2022-03-31,1.8,5.3,12.5
395051,138,"Salisbury, MD",Msa,DE,2022-03-31,1.7,4.3,12.1
394658,139,"Gulfport, MS",Msa,MS,2022-03-31,1.4,4.8,13.8
395146,140,"Tallahassee, FL",Msa,FL,2022-03-31,1.6,5.0,13.4
395164,141,"Trenton, NJ",Msa,NJ,2022-03-31,1.5,5.3,13.1
394589,142,"Fayetteville, NC",Msa,NC,2022-03-31,1.5,5.1,13.8
394679,143,"Hickory, NC",Msa,NC,2022-03-31,0.9,3.9,14.3
394697,144,"Huntington, WV",Msa,WV,2022-03-31,0.9,3.5,9.7
394576,145,"Eugene, OR",Msa,OR,2022-03-31,1.6,5.4,16.3
395033,146,"Rockford, IL",Msa,IL,2022-03-31,1.8,4.9,13.1
395070,147,"Savannah, GA",Msa,GA,2022-03-31,1.9,6.6,18.9
394332,148,"Ann Arbor, MI",Msa,MI,2022-03-31,2.1,6.2,13.6
394927,149,"Ocala, FL",Msa,FL,2022-03-31,3.0,8.9,22.7
394732,150,"Kalamazoo, MI",Msa,MI,2022-03-31,1.1,2.6,10.1
394901,151,"Naples, FL",Msa,FL,2022-03-31,4.4,12.6,27.3
395107,152,"South Bend, IN",Msa,IN,2022-03-31,1.3,5.2,15.5
395109,153,"Spartanburg, SC",Msa,SC,2022-03-31,2.3,6.9,17.6
394579,154,"Evansville, IN",Msa,IN,2022-03-31,1.4,4.7,12.6
394747,155,"Kingsport, TN",Msa,TN,2022-03-31,0.8,3.3,11.7
395028,156,"Roanoke, VA",Msa,VA,2022-03-31,1.1,4.2,11.5
394646,157,"Green Bay, WI",Msa,WI,2022-03-31,1.6,5.2,13.8
394796,158,"Lincoln, NE",Msa,NE,2022-03-31,1.5,4.9,13.0
394602,159,"Fort Collins, CO",Msa,CO,2022-03-31,1.7,5.3,14.6
395179,160,"Utica, NY",Msa,NY,2022-03-31,1.8,5.2,13.3
394488,161,"Columbus, GA",Msa,GA,2022-03-31,1.3,4.6,12.2
394405,162,"Boulder, CO",Msa,CO,2022-03-31,2.2,7.3,17.3
394808,163,"Lubbock, TX",Msa,TX,2022-03-31,1.3,3.6,10.2
394572,164,"Erie, PA",Msa,PA,2022-03-31,1.5,4.7,11.8
394609,165,"Fort Smith, AR",Msa,AR,2022-03-31,1.7,4.8,12.2
394543,166,"Duluth, MN",Msa,MN,2022-03-31,1.3,4.4,11.7
394348,167,"Atlantic City, NJ",Msa,NJ,2022-03-31,2.6,7.8,19.5
394924,168,"New London, CT",Msa,CT,2022-03-31,2.6,7.0,14.7
395061,169,"San Luis Obispo, CA",Msa,CA,2022-03-31,2.0,5.6,15.0
394622,170,"Gainesville, FL",Msa,FL,2022-03-31,1.8,5.4,14.3
395065,171,"Santa Cruz, CA",Msa,CA,2022-03-31,3.2,6.9,16.7
394471,172,"Clarksville, TN",Msa,TN,2022-03-31,1.5,6.1,18.1
394447,173,"Cedar Rapids, IA",Msa,IA,2022-03-31,1.3,4.3,10.5
394851,174,"Merced, CA",Msa,CA,2022-03-31,1.6,5.8,17.9
395229,175,"Wilmington, NC",Msa,NC,2022-03-31,2.8,8.4,18.8
394741,176,"Kennewick, WA",Msa,WA,2022-03-31,1.5,5.4,16.8
394645,177,"Greeley, CO",Msa,CO,2022-03-31,2.7,6.8,16.5
395197,178,"Waco, TX",Msa,TX,2022-03-31,2.9,8.0,20.0
394937,179,"Olympia, WA",Msa,WA,2022-03-31,1.2,4.7,16.7
394323,180,"Amarillo, TX",Msa,TX,2022-03-31,1.5,5.1,13.2
394387,181,"Binghamton, NY",Msa,NY,2022-03-31,1.3,4.5,11.6
394660,182,"Hagerstown, WV",Msa,MD,2022-03-31,1.2,4.4,13.0
394412,183,"Bremerton, WA",Msa,WA,2022-03-31,1.9,5.2,16.7
394772,184,"Laredo, TX",Msa,TX,2022-03-31,0.6,2.7,8.7
394811,185,"Lynchburg, VA",Msa,VA,2022-03-31,,4.4,12.3
395240,186,"Yakima, WA",Msa,WA,2022-03-31,1.3,4.8,16.5
753875,187,"Crestview-Fort Walton Beach-Destin, FL",Msa,FL,2022-03-31,2.3,7.7,20.5
395161,188,"Topeka, KS",Msa,KS,2022-03-31,0.9,3.9,11.8
394813,189,"Macon-Bibb County, GA",Msa,GA,2022-03-31,2.0,5.4,14.9
394454,190,"Champaign-Urbana, IL",Msa,IL,2022-03-31,1.0,3.6,9.1
395171,191,"Tuscaloosa, AL",Msa,AL,2022-03-31,1.2,3.9,11.2
394483,192,"College Station, TX",Msa,TX,2022-03-31,1.8,5.0,11.3
395103,193,"Sioux Falls, SD",Msa,SD,2022-03-31,1.5,4.6,12.3
394455,194,"Charleston, WV",Msa,WV,2022-03-31,0.5,1.0,3.7
394334,195,"Appleton, WI",Msa,WI,2022-03-31,1.5,4.9,13.5
394464,196,"Chico, CA",Msa,CA,2022-03-31,1.5,4.5,13.9
394459,197,"Charlottesville, VA",Msa,VA,2022-03-31,1.1,4.1,10.8
394468,198,"Claremont, NH",Msa,NH,2022-03-31,1.5,5.3,15.2
394361,199,"Barnstable Town, MA",Msa,MA,2022-03-31,1.9,6.8,17.5
394803,200,"Longview, TX",Msa,TX,2022-03-31,1.7,4.7,10.3
394429,201,"Burlington, VT",Msa,VT,2022-03-31,1.7,5.2,13.0
395002,202,"Prescott, AZ",Msa,AZ,2022-03-31,2.1,7.1,20.0
395114,203,"Springfield, IL",Msa,IL,2022-03-31,,1.2,5.0
395174,204,"Tyler, TX",Msa,TX,2022-03-31,1.7,5.1,13.2
394773,205,"Las Cruces, NM",Msa,NM,2022-03-31,1.6,5.3,13.3
394585,206,"Fargo, ND",Msa,ND,2022-03-31,1.0,3.5,8.1
394691,207,"Houma, LA",Msa,LA,2022-03-31,0.7,3.3,8.2
395030,208,"Rochester, MN",Msa,MN,2022-03-31,1.1,4.1,12.0
394597,209,"Florence, SC",Msa,SC,2022-03-31,1.3,4.4,11.5
394848,210,"Medford, OR",Msa,OR,2022-03-31,1.3,4.5,12.8
753895,211,"Lafayette-West Lafayette, IN",Msa,IN,2022-03-31,1.5,4.8,14.1
394378,212,"Bellingham, WA",Msa,WA,2022-03-31,1.5,5.1,17.2
394765,213,"Lake Havasu City, AZ",Msa,AZ,2022-03-31,1.7,6.7,21.2
395047,214,"Saginaw, MI",Msa,MI,2022-03-31,1.5,5.0,14.9
394763,215,"Lake Charles, LA",Msa,LA,2022-03-31,2.0,4.7,8.9
394726,216,"Johnson City, TN",Msa,TN,2022-03-31,,2.2,12.7
394565,217,"Elkhart, IN",Msa,IN,2022-03-31,2.1,6.1,16.2
395247,218,"Yuma, AZ",Msa,AZ,2022-03-31,1.8,6.6,19.2
395011,219,"Racine, WI",Msa,WI,2022-03-31,0.5,3.3,11.9
394346,220,"Athens, GA",Msa,GA,2022-03-31,1.7,5.3,17.1
395162,221,"Torrington, CT",Msa,CT,2022-03-31,1.9,5.9,14.4
395118,222,"St. Cloud, MN",Msa,MN,2022-03-31,2.0,6.5,16.9
394681,223,"Hilton Head Island, SC",Msa,SC,2022-03-31,2.6,8.5,20.5
753869,224,"Bloomington, IL",Msa,IL,2022-03-31,2.4,6.5,12.2
394680,225,"Hilo, HI",Msa,HI,2022-03-31,2.8,8.6,20.2
394960,226,"Panama City, FL",Msa,FL,2022-03-31,2.4,7.5,19.4
394748,227,"Kingston, NY",Msa,NY,2022-03-31,1.2,4.9,16.7
394519,228,"Daphne, AL",Msa,AL,2022-03-31,1.7,5.7,18.0
394623,229,"Gainesville, GA",Msa,GA,2022-03-31,1.8,6.8,20.7
395202,230,"Warner Robins, GA",Msa,GA,2022-03-31,1.9,5.5,13.5
394392,231,"Blacksburg, VA",Msa,VA,2022-03-31,0.8,3.5,10.3
394716,232,"Jacksonville, NC",Msa,NC,2022-03-31,1.7,5.0,13.7
395018,233,"Redding, CA",Msa,CA,2022-03-31,1.5,5.6,15.7
394872,234,"Monroe, LA",Msa,LA,2022-03-31,1.0,3.4,8.6
394729,235,"Joplin, MO",Msa,MO,2022-03-31,2.3,7.4,18.0
394559,236,"El Centro, CA",Msa,CA,2022-03-31,1.7,5.4,16.8
395151,237,"Terre Haute, IN",Msa,IN,2022-03-31,1.2,4.1,10.9
394896,238,"Muskegon, MI",Msa,MI,2022-03-31,1.0,4.1,15.3
394553,239,"East Stroudsburg, PA",Msa,PA,2022-03-31,1.6,5.3,17.9
395102,240,"Sioux City, IA",Msa,IA,2022-03-31,0.7,3.2,7.9
394651,241,"Greenville, NC",Msa,NC,2022-03-31,1.6,4.6,13.1
395210,242,"Waterloo, IA",Msa,IA,2022-03-31,1.0,3.5,8.8
394944,243,"Oshkosh, WI",Msa,WI,2022-03-31,1.6,5.1,13.7
395246,244,"Yuba City, CA",Msa,CA,2022-03-31,1.1,4.5,15.7
394299,245,"Abilene, TX",Msa,TX,2022-03-31,1.5,4.6,11.9
394485,246,"Columbia, MO",Msa,MO,2022-03-31,2.2,5.5,12.3
394539,247,"Dover, DE",Msa,DE,2022-03-31,1.4,4.7,12.9
394555,248,"Eau Claire, WI",Msa,WI,2022-03-31,1.9,5.4,14.7
394720,249,"Janesville, WI",Msa,WI,2022-03-31,0.4,3.3,12.4
394710,250,"Jackson, MI",Msa,MI,2022-03-31,1.0,3.9,12.6
395009,251,"Punta Gorda, FL",Msa,FL,2022-03-31,4.5,13.0,29.3
394393,252,"Bloomington, IN",Msa,IN,2022-03-31,1.5,4.4,13.5
395007,253,"Pueblo, CO",Msa,CO,2022-03-31,1.8,6.2,19.6
394386,254,"Billings, MT",Msa,MT,2022-03-31,1.6,5.0,12.6
394406,255,"Bowling Green, KY",Msa,KY,2022-03-31,0.6,4.0,11.9
394380,256,"Bend, OR",Msa,OR,2022-03-31,1.9,6.8,18.4
394306,257,"Albany, GA",Msa,GA,2022-03-31,1.4,4.0,10.9
395193,258,"Vineland, NJ",Msa,NJ,2022-03-31,1.6,6.2,16.4
394917,259,"Niles, MI",Msa,MI,2022-03-31,2.1,6.0,15.4
394731,260,"Kahului, HI",Msa,HI,2022-03-31,3.0,8.7,20.1
394946,261,"Ottawa, IL",Msa,IL,2022-03-31,1.2,4.0,11.1
395125,262,"State College, PA",Msa,PA,2022-03-31,1.1,4.0,10.0
394359,263,"Bangor, ME",Msa,ME,2022-03-31,1.4,4.7,15.0
394314,264,"Alexandria, LA",Msa,LA,2022-03-31,1.3,3.8,8.2
394523,265,"Decatur, AL",Msa,AL,2022-03-31,1.5,4.9,13.8
394662,266,"Hanford, CA",Msa,CA,2022-03-31,1.8,5.6,15.6
394707,267,"Iowa City, IA",Msa,IA,2022-03-31,0.8,3.3,8.8
395036,268,"Rocky Mount, NC",Msa,NC,2022-03-31,1.8,5.4,15.2
394873,269,"Monroe, MI",Msa,MI,2022-03-31,1.0,3.6,10.8
395223,270,"Wichita Falls, TX",Msa,TX,2022-03-31,1.6,5.4,14.0
394428,271,"Burlington, NC",Msa,NC,2022-03-31,2.9,8.6,21.5
394814,272,"Madera, CA",Msa,CA,2022-03-31,1.4,5.3,17.3
394723,273,"Jefferson City, MO",Msa,MO,2022-03-31,1.2,4.0,11.6
394453,274,"Chambersburg, PA",Msa,PA,2022-03-31,1.4,5.1,12.7
395152,275,"Texarkana, TX",Msa,TX,2022-03-31,1.4,4.5,12.6
394563,276,"Elizabethtown, KY",Msa,KY,2022-03-31,1.4,5.0,13.0
395000,277,"Pottsville, PA",Msa,PA,2022-03-31,1.6,5.6,15.9
395221,278,"Wheeling, OH",Msa,OH,2022-03-31,0.9,3.8,11.6
394598,279,"Florence, AL",Msa,AL,2022-03-31,1.7,5.9,16.6
394639,280,"Grand Junction, CO",Msa,CO,2022-03-31,1.7,6.2,17.3
394493,281,"Concord, NH",Msa,NH,2022-03-31,1.6,5.2,14.9
394537,282,"Dothan, AL",Msa,AL,2022-03-31,1.6,4.7,11.2
395066,283,"Santa Fe, NM",Msa,NM,2022-03-31,2.1,5.6,14.4
394727,284,"Johnstown, PA",Msa,PA,2022-03-31,0.4,2.5,8.5
395163,285,"Traverse City, MI",Msa,MI,2022-03-31,1.5,6.0,17.2
394671,286,"Hattiesburg, MS",Msa,MS,2022-03-31,1.2,3.8,9.9
394515,287,"Dalton, GA",Msa,GA,2022-03-31,3.7,12.0,26.5
394860,288,"Midland, TX",Msa,TX,2022-03-31,1.0,3.1,7.9
394685,289,"Homosassa Springs, FL",Msa,FL,2022-03-31,2.1,7.6,21.9
394351,290,"Auburn, AL",Msa,AL,2022-03-31,4.6,7.5,15.9
395182,291,"Valdosta, GA",Msa,GA,2022-03-31,1.7,5.5,13.3
394480,292,"Coeur d'Alene, ID",Msa,ID,2022-03-31,0.9,5.2,19.9
395117,293,"Springfield, OH",Msa,OH,2022-03-31,0.8,3.7,11.9
395119,294,"St. George, UT",Msa,UT,2022-03-31,1.1,5.9,20.7
395079,295,"Vero Beach, FL",Msa,FL,2022-03-31,2.9,8.9,23.3
394930,296,"Odessa, TX",Msa,TX,2022-03-31,0.6,3.1,6.0
394900,297,"Napa, CA",Msa,CA,2022-03-31,2.3,6.1,14.3
395170,298,"Tupelo, MS",Msa,MS,2022-03-31,1.3,3.8,9.5
394368,299,"Battle Creek, MI",Msa,MI,2022-03-31,1.6,4.9,13.9
394719,300,"Jamestown, NY",Msa,NY,2022-03-31,1.6,5.5,14.7
